modelo,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mean_iou,cohen_kappa
rgb_exg,0.7516695658365885,0.5207224417631585,0.5796005617498324,0.5207224417631585,0.53343809384066,0.42189247788652856,0.5436067188134873
rgb_cive,0.72803955078125,0.4925175042059173,0.5195435806342341,0.4925175042059173,0.4991471909066337,0.3845732489918729,0.5147773353151499
puro_rgb,0.7465754191080729,0.5100863297006549,0.5487978856832944,0.5100863297006549,0.4810010221189927,0.37718454852154365,0.565129524017417
rgb_exg_cive,0.685888163248698,0.4241927616041623,0.46608515425454006,0.4241927616041623,0.396712694366901,0.30792988124367593,0.3650986808907477
